epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.514120365074441,4.3429375,7.18,23.49
1,4.3199478801478195,3.92705,11.21,34.97
2,4.182330429172394,3.659515625,15.74,41.11
3,4.070364200198849,3.455575,18.43,47.38
4,3.994238782325872,3.273103125,22.03,52.26
5,3.9259686167811005,3.169140625,23.7,54.89
6,3.826217416001343,2.961315625,27.36,60.23
7,3.764348044438185,2.82094375,30.42,63.15
8,3.71478859807404,2.6579125,35.31,68.54
9,3.6764301490539473,2.7048625,33.51,66.02
10,3.6315938080166124,2.544646875,36.98,70.33
11,3.5887127673580155,2.4823203125,37.66,70.2
12,3.552509677242225,2.30791875,42.37,75.0
13,3.51493396496498,2.303503125,42.82,74.76
14,3.4868191808805578,2.2128375,45.13,76.33
15,3.4558314715396428,2.22371875,45.0,75.25
16,3.4571566184870566,2.1390515625,46.6,78.0
17,3.3870411783113368,2.1219515625,47.42,77.87
18,3.3935323729252542,2.074509375,47.74,78.9
19,3.352159195764422,2.074540625,48.67,77.88
20,3.3664412730481956,2.05430625,48.96,78.86
21,3.32073963344784,1.94753125,51.76,81.47
22,3.2758614729980193,1.91325,51.71,81.53
23,3.2751138588835733,2.052221875,49.87,79.67
24,3.228858241656373,1.848803125,53.39,82.9
25,3.1891607966526827,1.8600890625,53.52,82.47
26,3.1865241829778106,1.76866875,55.61,83.78
27,3.1751485278450726,1.860259375,54.17,82.67
28,3.1441379570319925,1.776146875,55.99,84.2
29,3.1055974893166987,1.78923125,55.36,83.58
30,3.173520257012029,1.7742703125,56.42,84.29
31,3.146349242493682,1.752565625,57.58,84.84
32,3.1040789572743845,1.81504375,55.41,83.15
33,3.1353281205198065,1.7517046875,57.03,83.97
34,3.111087900575694,1.672696875,59.52,85.18
35,3.0876898368708456,1.7406453125,57.38,84.43
36,3.046508811347463,1.6703328125,58.66,85.61
37,3.0834585026803305,1.7124171875,58.54,85.2
38,3.0766507214681744,1.683728125,59.48,85.68
39,3.035105868735173,1.6900734375,58.39,85.51
40,3.0422215025189896,1.69655,58.78,85.4
41,3.0210819601554726,1.5975953125,60.89,86.67
42,3.073996101695658,1.6103375,61.51,86.72
43,3.04459977867356,1.636990625,60.5,86.07
44,3.008688840304386,1.61709375,60.49,86.21
45,3.0492974560941533,1.618159375,61.01,86.79
46,2.976021952726777,1.5927921875,61.1,86.6
47,3.0142368485771893,1.6488234375,60.67,86.18
48,2.9851333110494283,1.599378125,60.95,86.72
49,2.965016176392266,1.5873796875,61.71,86.87
50,2.9684180250241115,1.5288125,63.07,87.28
51,2.929550066037001,1.533684375,62.17,87.43
52,2.956097116848876,1.550984375,63.12,86.97
53,2.998833868934006,1.5080125,63.26,87.35
54,2.96026480594762,1.5075203125,63.26,88.04
55,2.9760574786214304,1.55261875,62.55,87.86
56,2.9145201525523325,1.524125,63.72,87.89
57,2.9724808284170954,1.6009,61.67,87.27
58,2.9265560009415417,1.509865625,64.26,88.76
59,2.943356112237166,1.535434375,62.97,88.14
60,2.922941133856926,1.52698125,62.88,87.59
61,2.9441947679055636,1.5061734375,62.75,87.55
62,2.9136531708640416,1.5171875,62.84,87.83
63,2.9362909264204293,1.492715625,64.28,88.71
64,2.9251097742940337,1.522896875,63.81,88.27
65,2.9286487493258586,1.5072984375,63.33,87.99
66,2.9225899110835583,1.4563625,65.06,89.04
67,2.902483807177916,1.438353125,64.6,88.92
68,2.8799329670992764,1.416965625,64.22,88.77
69,2.916724296446494,1.5758234375,63.39,87.28
70,2.871162379291696,1.5210296875,64.07,88.09
71,2.8966024228766387,1.513175,63.28,88.08
72,2.8856250192688613,1.6141640625,61.67,86.57
73,2.8963006238778637,1.538740625,63.67,87.82
74,2.9069651334752806,1.52031875,63.97,88.31
75,2.8587410837678995,1.4895,63.98,88.14
76,2.870149687066121,1.5112125,64.0,88.45
77,2.870783116387039,1.44784375,65.51,88.69
78,2.863819326389767,1.4725203125,65.02,88.86
79,2.8463807432660677,1.4207171875,65.6,88.78
80,2.8561220530816445,1.5644328125,63.68,87.28
81,2.875512007714539,1.4674015625,65.6,88.59
82,2.8703767885471887,1.4839890625,65.21,88.44
83,2.849158098541973,1.4538125,65.33,88.92
84,2.877982039305068,1.4267625,65.61,89.23
85,2.828627431896371,1.4239609375,64.63,88.78
86,2.8309439551967666,1.411653125,66.46,89.39
87,2.835752187251434,1.403321875,66.56,89.57
88,2.818359283723233,1.4223703125,65.78,89.11
89,2.8178471297827024,1.4017875,66.16,89.12
90,2.82861876670896,1.4332734375,67.09,89.46
91,2.83752579664604,1.42513125,65.79,89.26
92,2.817947439744439,1.4360546875,65.61,88.7
93,2.8613691790918994,1.4238453125,64.86,88.53
94,2.819175128289588,1.422246875,66.46,89.52
