epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.565988330010721,4.41194375,4.77,20.16
1,4.363002040780002,3.992203125,10.72,34.3
2,4.197589823592183,3.664365625,16.07,42.55
3,4.048731423218028,3.36793125,20.5,50.5
4,3.9302909053699917,3.197546875,23.61,53.96
5,3.830652334320713,2.8970125,30.6,62.59
6,3.706035469619321,2.636421875,34.41,68.25
7,3.634719768040617,2.544396875,36.32,69.95
8,3.5729504886265753,2.4249375,39.24,72.24
9,3.530588964494029,2.3783125,41.17,73.73
10,3.48169393881335,2.1687171875,45.89,77.66
11,3.4280550223459203,2.2009421875,44.16,75.75
12,3.3908416620442563,2.061875,48.03,79.04
13,3.342459389250654,2.1157890625,46.49,77.01
14,3.306726452941015,1.9950265625,49.75,80.2
15,3.2724053768128654,1.9329953125,51.51,80.72
16,3.2689933013671797,1.94640625,51.47,81.02
17,3.199024698035207,1.8979703125,52.24,81.16
18,3.1981648943946244,1.864865625,53.27,81.96
19,3.1464954191835526,1.7275890625,56.11,84.19
20,3.1615719010674237,1.7678546875,55.72,83.7
21,3.1199171805656523,1.6790875,58.81,85.23
22,3.067911170661526,1.652965625,58.73,85.93
23,3.0685690684141482,1.6951359375,58.34,85.36
24,3.0227904049596166,1.59730625,60.67,86.49
25,2.9780883305204053,1.5018796875,62.0,87.88
26,2.9878826783958075,1.544465625,61.83,87.29
27,2.9737013166295734,1.52935,62.06,87.98
28,2.9421826262174893,1.5200421875,62.45,87.85
29,2.905600268770577,1.5296890625,62.12,87.57
30,2.982442760742275,1.55580625,62.18,87.42
31,2.962546694751891,1.527378125,63.42,88.08
32,2.9152523523408838,1.5174109375,63.74,87.95
33,2.952886194944687,1.4878859375,64.75,88.27
34,2.9332626787862157,1.464865625,64.33,88.21
35,2.903563083668219,1.5190109375,63.82,87.3
36,2.8596954194592756,1.394090625,66.55,89.67
37,2.901657685274962,1.5589484375,63.45,87.68
38,2.9003070531825554,1.47048125,64.85,88.73
39,2.8665025624972453,1.449928125,65.6,88.86
40,2.8652712334133446,1.4447609375,65.76,89.31
41,2.8419503868007783,1.379475,66.08,89.98
42,2.900507802847253,1.39315,66.38,89.65
43,2.877535538392549,1.4223234375,65.57,89.48
44,2.838265284380748,1.4590765625,64.87,88.83
45,2.8764897369697366,1.4294609375,65.89,89.28
46,2.805333010518444,1.3858421875,66.73,90.1
47,2.844235406947655,1.3908875,67.11,90.05
48,2.8263119251566264,1.36933125,68.04,90.58
49,2.801046405497953,1.377690625,67.81,90.04
50,2.814651864744179,1.35269921875,67.78,90.56
51,2.772434792811678,1.34455,67.47,90.26
52,2.8110225099912833,1.3820265625,66.8,89.27
53,2.8432128330198965,1.2936484375,68.65,90.36
54,2.8091091766247525,1.3181546875,68.6,90.93
55,2.820302100096103,1.32693828125,68.89,90.76
56,2.76132995966302,1.35344375,68.19,90.74
57,2.8221379211709077,1.4534796875,66.09,89.72
58,2.782693808423725,1.355203125,68.17,90.28
59,2.7898574565345284,1.34604375,68.35,90.15
60,2.7765564741459454,1.38085625,67.53,89.71
61,2.8013793017891704,1.3290015625,67.84,90.53
62,2.7684906310522295,1.35159375,68.68,90.35
63,2.7982205705056575,1.3016171875,69.52,91.03
64,2.786448293397735,1.327146875,69.48,90.86
65,2.7884788024746046,1.34785,68.17,90.27
66,2.7849928105533808,1.343796875,68.71,90.62
67,2.765851519629836,1.2744640625,69.37,91.56
68,2.738065931159006,1.269484375,68.76,90.78
69,2.7770959183134893,1.4017578125,67.34,90.25
70,2.7312974566534143,1.3559140625,68.27,90.97
71,2.759448055421192,1.433103125,66.99,89.49
72,2.7567495960890103,1.3731265625,68.08,90.07
73,2.762280976268607,1.3758234375,68.28,90.06
74,2.77490661910493,1.3355140625,69.01,90.71
75,2.724448873047334,1.279053125,69.27,90.86
76,2.740944299441446,1.39995,68.05,90.11
77,2.7384622037487056,1.32535,69.39,90.77
78,2.7310407283822036,1.2963640625,69.94,91.04
79,2.712101960456936,1.2951609375,69.47,90.93
80,2.727203201545491,1.3652203125,68.5,90.32
81,2.755406457849715,1.3165515625,69.74,90.9
82,2.738844973787608,1.32130625,69.62,90.52
83,2.7202614620614143,1.2782109375,70.07,91.13
84,2.7565682966181013,1.298178125,69.01,90.76
85,2.7001502503200925,1.2810515625,69.07,90.98
86,2.7057291856953793,1.3054,70.23,91.34
87,2.702676148329135,1.2971390625,69.97,91.16
88,2.687716553061628,1.2930859375,70.19,91.05
89,2.6949926332383396,1.2554171875,69.99,91.37
90,2.7045327698222805,1.3013265625,70.0,91.09
91,2.716535210609436,1.274796875,70.48,91.6
92,2.693779321852475,1.3482046875,68.71,90.47
93,2.74192097535054,1.228896875,70.74,91.5
94,2.696146247023657,1.3208921875,69.66,91.06
95,2.7228714450526024,1.315940625,69.09,90.81
96,2.698075575956767,1.271859375,70.6,91.58
97,2.7098698646555177,1.26625,70.48,90.93
98,2.681818032844729,1.2521546875,70.99,91.74
99,2.6599874594147472,1.284384375,70.74,91.41
100,2.655307005370625,1.25620625,70.32,91.68
101,2.664654559576252,1.229996875,70.68,91.39
102,2.6779207591058043,1.27025,70.66,91.91
103,2.667029319285736,1.4143953125,68.9,90.35
104,2.701220709291524,1.3474875,69.94,90.69
105,2.6899272708673023,1.312575,69.81,90.87
106,2.6702128653337036,1.2564625,70.21,91.25
107,2.6635121478008705,1.3248390625,69.73,90.6
108,2.674907188867332,1.286728125,70.73,91.29
109,2.629479766960486,1.3365203125,69.77,90.7
110,2.6915405660524256,1.2574578125,70.36,91.32
111,2.6594719937149907,1.2818265625,70.24,91.32
112,2.6841265047100227,1.2488546875,71.07,91.62
113,2.6559277296676833,1.2593125,71.61,91.91
114,2.6047810201608264,1.2585765625,71.3,91.72
115,2.664434432830762,1.30685625,70.21,91.12
116,2.672980174517662,1.21809375,71.2,91.66
117,2.63806177864612,1.2935,70.8,91.13
118,2.6398663461284664,1.24215625,71.35,91.56
119,2.67901739863519,1.263715625,70.62,91.06
120,2.6369049915430947,1.2446296875,70.97,91.77
121,2.627391126488601,1.24148125,70.97,91.82
122,2.6221037156755886,1.252596875,71.1,91.31
123,2.6619860690931354,1.2458984375,70.92,91.53
124,2.6379787254882987,1.22361875,71.97,92.05
125,2.630480409889612,1.1809671875,71.9,92.39
126,2.674930756284394,1.23764140625,71.69,91.72
127,2.6086383146757353,1.2962734375,70.15,90.85
128,2.6582496730985166,1.3127609375,70.2,91.05
129,2.6236859779809714,1.22597734375,71.42,91.8
130,2.6361895244039126,1.25674375,71.3,91.77
131,2.6693270690309863,1.291078125,71.22,91.02
132,2.6542964860816007,1.2509546875,71.74,91.58
133,2.6311631028691878,1.27150625,70.15,91.08
134,2.5924556130178456,1.25538125,71.88,91.73
135,2.628406004624849,1.27543125,71.16,91.68
136,2.6091091078771673,1.2528625,70.77,91.75
137,2.5867441627035985,1.2174359375,71.37,92.11
138,2.6087375174106007,1.22283125,72.29,91.85
139,2.590417511789808,1.2447578125,70.85,91.5
140,2.557872194639394,1.2261421875,71.67,91.73
141,2.572678761659297,1.23073125,72.62,92.11
142,2.601488641068511,1.213734375,71.87,91.88
143,2.6165880721906696,1.2164234375,72.6,92.16
144,2.545023579908852,1.20314375,71.52,91.61
145,2.6226579430161303,1.25669375,71.49,91.55
146,2.6027234829342167,1.2791875,71.31,91.35
147,2.569888681211484,1.2681265625,71.41,91.47
148,2.582782859838879,1.17039375,72.53,92.43
149,2.5934849718010837,1.176896875,73.03,92.17
150,2.6251743058083763,1.203228125,72.73,92.34
151,2.545832482861801,1.2005515625,71.97,91.71
152,2.602632021171335,1.1863703125,72.66,91.9
153,2.5862256952498237,1.1942,72.64,92.01
154,2.5672290233582755,1.1912765625,72.14,91.78
155,2.567832044541607,1.285471875,71.69,91.42
156,2.5196038483047,1.2623015625,71.93,91.62
157,2.5896798247106556,1.233071875,72.21,91.83
158,2.564062217133604,1.210234375,73.0,91.83
159,2.519423387725283,1.218509375,72.17,92.13
160,2.559242473979613,1.2196515625,71.64,91.61
161,2.561170444598424,1.2243,72.85,92.13
162,2.51298826329992,1.24963125,72.18,91.31
163,2.5730827741525237,1.22354375,72.39,92.11
164,2.5636773201018075,1.216828125,72.75,92.47
165,2.559330639704852,1.23304375,72.95,92.02
166,2.5237438243726764,1.1961875,72.71,92.32
167,2.5744461654548303,1.2567046875,72.39,91.68
168,2.5590263301370695,1.1999765625,72.3,91.95
169,2.544121654177139,1.184778125,73.38,92.36
170,2.539910170699204,1.1887234375,72.79,92.27
171,2.500963310273448,1.220440625,72.62,92.42
172,2.517522761061616,1.1981609375,72.78,92.38
173,2.5159817909614377,1.2599109375,71.31,91.48
174,2.559199426757236,1.244071875,72.67,92.19
175,2.5239735782222774,1.178375,72.57,92.46
176,2.564326060413551,1.1958796875,72.52,92.04
177,2.5385543530790207,1.175478125,73.29,92.46
178,2.5322243538464537,1.2452484375,72.55,92.1
179,2.492635156830508,1.221490625,72.69,92.1
180,2.5141860585511875,1.1999546875,72.94,92.22
181,2.499083011922702,1.1395640625,73.35,92.66
182,2.486910777574312,1.1848015625,72.85,92.28
183,2.4965039128378015,1.253178125,72.79,91.92
184,2.490691148670016,1.20511875,72.81,92.25
