epoch,train_loss,eval_loss,eval_top1,eval_top5
0,4.560800629297078,4.43121875,4.5,17.73
1,4.352481653992559,3.976365625,9.57,32.42
2,4.178133695287375,3.642115625,16.41,41.82
3,4.060010705806229,3.3726625,21.04,49.66
4,3.947325134399453,3.182496875,23.71,55.25
5,3.8003598205869236,2.901028125,28.61,61.57
6,3.7112064663793,2.706528125,33.39,65.93
7,3.611378888314573,2.53314375,37.93,70.22
8,3.536820112819403,2.26670625,43.56,76.09
9,3.4298165503903633,2.180953125,45.6,76.65
10,3.3866685642628296,2.0786390625,48.04,79.19
11,3.320394163705628,1.982921875,49.87,81.4
12,3.2590955555362675,1.8870296875,52.44,82.63
13,3.2363546755493986,1.7946890625,54.65,83.88
14,3.179812182842846,1.7339203125,55.98,84.63
15,3.1808328411795874,1.7154375,56.8,85.59
16,3.142564773864844,1.672184375,58.33,86.81
17,3.1546987134882185,1.650990625,59.01,86.44
18,3.1218292786430917,1.6581921875,59.45,87.17
19,3.0752740861816994,1.6422,59.58,86.23
20,3.045367585559508,1.6545046875,59.24,86.38
21,3.07397244529138,1.61870625,60.77,86.98
22,2.9685744523391526,1.53721875,62.69,88.35
23,2.984255063243773,1.615175,61.49,87.69
24,2.969019265089389,1.514375,63.98,88.74
25,2.95975092446453,1.4135765625,65.17,89.8
26,2.939560769920007,1.5113546875,64.46,89.55
27,2.9198404967250653,1.4618109375,66.56,89.87
28,2.9199708771919317,1.4348875,65.97,90.05
29,2.908535563228378,1.405946875,66.43,89.98
30,2.884975664441625,1.4107609375,66.09,90.31
31,2.880205883259352,1.4216921875,67.58,90.68
32,2.8439770263837945,1.435015625,67.51,90.48
33,2.8351814375949425,1.3982359375,66.98,90.31
34,2.8178969617079224,1.4333859375,66.78,90.06
35,2.8126272694249463,1.365940625,68.43,90.98
36,2.8053706130358687,1.316453125,68.14,91.13
37,2.782291996036388,1.3061453125,68.47,91.38
38,2.785019922805962,1.2387171875,69.53,91.81
39,2.7795866176810367,1.41334375,68.0,90.41
40,2.7833689657277243,1.2936234375,69.12,91.41
41,2.8027510595687986,1.2926875,69.78,91.7
42,2.7655622499700394,1.329334375,69.32,91.07
43,2.781128363633736,1.2986703125,69.61,91.56
44,2.772624473565672,1.269696875,70.98,92.08
45,2.7177831511491393,1.2984265625,69.4,91.28
46,2.7562785372996603,1.2450703125,71.08,92.01
47,2.7170160868409043,1.31501875,69.78,91.73
48,2.7162146569824706,1.2751703125,71.09,92.05
49,2.7019348745919984,1.22556875,71.6,92.43
50,2.72080209007947,1.2978953125,70.68,91.97
51,2.6608288497228783,1.276728125,70.47,92.06
52,2.7274315853277638,1.32405625,70.48,91.39
53,2.6900665329604694,1.2593453125,70.66,91.75
54,2.684998010703757,1.28116875,70.58,91.87
55,2.6768232843482083,1.2277828125,71.31,92.22
56,2.6785506048214724,1.233425,72.27,92.38
57,2.6966965113040273,1.2394515625,72.1,92.26
58,2.690427882723253,1.329475,70.83,91.92
59,2.6814594476384785,1.1824203125,72.4,92.4
60,2.6635114490299006,1.261040625,71.43,92.33
61,2.670833766689374,1.249665625,71.51,92.19
62,2.63122637491678,1.2118265625,72.01,92.38
63,2.6510216739510453,1.187096875,72.03,92.97
64,2.6472170659735625,1.238059375,71.66,92.64
65,2.663980149734341,1.18736875,72.97,92.32
66,2.648113369789075,1.2170765625,71.39,92.34
67,2.671398662269192,1.31551875,70.88,91.89
68,2.6523061454982977,1.269796875,71.88,92.93
69,2.629390401357878,1.2075953125,71.65,92.57
70,2.6357353212891406,1.293025,70.6,91.62
71,2.651622761379589,1.2764265625,71.22,92.05
72,2.603439689293103,1.2465671875,71.64,92.39
73,2.6613281862989124,1.2596859375,71.9,92.29
74,2.6062601087340624,1.2294515625,71.4,92.45
75,2.612905115690488,1.18531875,73.13,93.03
76,2.6270485786713955,1.2137015625,73.05,92.57
77,2.639919029002611,1.2049734375,72.87,93.03
78,2.6292429504565487,1.190425,73.4,92.78
79,2.6105003201244124,1.251621875,72.41,92.29
80,2.5913750250727206,1.159834375,72.77,92.52
81,2.5981425758207957,1.1644765625,73.98,93.05
82,2.606743301838522,1.2499171875,71.57,91.94
83,2.623512601577671,1.1478171875,73.86,92.98
84,2.5603692595693124,1.1868125,72.17,92.46
85,2.623479062555389,1.1489171875,73.84,93.11
86,2.644774070164611,1.1981953125,73.05,92.88
87,2.572263816407334,1.1305390625,73.8,93.35
88,2.5957523421044537,1.2115140625,72.94,93.12
89,2.621117940785485,1.2161203125,73.16,92.63
90,2.5644230410628372,1.1839765625,72.7,92.81
91,2.6012074857301504,1.2111734375,73.13,92.59
92,2.6022826259175886,1.184896875,73.06,93.13
93,2.5719513258158626,1.1815796875,73.39,93.11
94,2.5662565770130916,1.1246578125,74.4,93.54
95,2.5717137096480736,1.128975,74.02,93.32
96,2.59814805547956,1.1635015625,73.41,93.06
97,2.5434444353614056,1.105978125,73.89,93.44
98,2.5647712243809133,1.1896859375,73.51,93.22
99,2.6002896517400704,1.174471875,73.48,93.26
100,2.5556226338375545,1.1775125,73.47,93.05
101,2.5692906242326647,1.2034921875,73.72,92.9
102,2.5641207548476057,1.1621671875,73.75,93.26
103,2.559454544252989,1.140765625,73.45,93.45
104,2.567897387564411,1.086046875,73.94,93.6
105,2.546251538621021,1.1158078125,74.26,93.35
106,2.5499247219437366,1.1379578125,73.65,93.26
107,2.5456753848609486,1.1702171875,73.57,93.26
108,2.5418047718751446,1.12521875,74.38,93.4
109,2.549483590638897,1.135746875,74.32,93.24
110,2.580315233650647,1.1283984375,74.21,93.59
111,2.520284982100034,1.14484609375,74.57,93.2
112,2.5231233494840417,1.1616265625,73.81,93.16
113,2.5777472303405156,1.2087,72.71,92.59
114,2.506877638771653,1.1510703125,74.32,93.0
115,2.507430813376638,1.16061875,73.81,93.06
116,2.532637535838861,1.1203375,74.38,93.55
117,2.534220114712831,1.1271703125,75.05,93.49
118,2.5662212501567394,1.19981875,74.19,93.17
119,2.505877130468127,1.14566875,74.63,93.34
120,2.534831960436324,1.1486125,74.52,93.23
121,2.543139260953886,1.1431046875,73.98,93.25
122,2.5303831532425827,1.1361046875,74.7,93.51
123,2.5377484975184736,1.149440625,74.04,93.31
124,2.5342238347753216,1.084196875,74.88,93.55
125,2.5541341669580846,1.057090625,75.3,93.88
126,2.4893023428935246,1.09650625,74.94,93.67
127,2.5008613780884983,1.175534375,74.36,93.35
128,2.5072518651219857,1.15091875,74.36,93.25
129,2.466451407394702,1.1028578125,74.5,93.78
130,2.4895758094616642,1.102553125,74.94,93.83
131,2.537546703360603,1.103365625,75.6,93.75
132,2.513012560931119,1.1234890625,74.73,93.13
133,2.4808829865596054,1.173840625,73.95,93.27
134,2.5630084779900564,1.143309375,74.33,93.06
135,2.5365682939561167,1.1610078125,74.82,93.57
136,2.5227424866411354,1.1051421875,75.16,93.81
137,2.4651599444744683,1.17713359375,74.14,93.08
138,2.5034662901820965,1.18795625,74.23,93.43
139,2.48874702007914,1.0922265625,75.26,93.58
140,2.465574636959999,1.116034375,75.57,93.49
141,2.4185475803978465,1.034015625,76.22,93.9
142,2.446203264323148,1.11930625,74.94,93.66
143,2.4659095964419553,1.0601625,76.02,93.73
144,2.4536268810303965,1.0738015625,74.72,93.77
145,2.464719228188909,1.08420625,75.28,93.63
146,2.449838356232979,1.0611421875,75.47,93.6
147,2.470268074132111,1.0818796875,75.06,93.84
148,2.4761557688938978,1.05641875,75.76,93.76
149,2.45971524135404,1.0910640625,75.56,93.28
150,2.4917909435059746,1.139603125,75.25,93.58
151,2.448610069504468,1.1160984375,75.45,93.27
152,2.445177055504197,1.0752734375,75.43,93.42
153,2.463297163783817,1.0890890625,76.27,93.74
154,2.4294092004949395,1.1239546875,75.5,93.18
155,2.4637744138243867,1.0956890625,75.18,93.59
156,2.4160950379243427,1.09097734375,75.61,93.59
157,2.469312375089423,1.0644,76.12,93.65
158,2.4058529729269225,1.0772640625,75.08,93.55
159,2.407573118557851,1.100709375,76.23,93.89
160,2.4706957094495334,1.10118125,75.99,93.58
161,2.431301855094607,1.0867015625,76.42,94.03
162,2.4509056090698045,1.0610734375,75.07,93.74
163,2.4202503142985736,1.0270875,76.0,93.87
164,2.4027981501687963,1.050234375,75.91,93.87
165,2.4467887023652257,1.0750078125,76.03,93.76
166,2.439303817883344,1.07894609375,76.04,93.75
167,2.402096178253848,1.1196984375,75.66,93.45
168,2.4382885787612194,1.0722828125,76.73,93.91
169,2.395636056357859,1.077871875,75.89,93.83
170,2.4455184364135683,1.0845453125,75.83,93.56
171,2.379796252665843,1.05627890625,76.14,93.99
172,2.407863552225384,1.049590625,76.01,93.52
173,2.401272901194349,1.101828125,76.51,93.7
