epoch,layer_index,layer_name,beta,tau
0,0,patch_embed1.embed1.embed_lif,0.500000,2.000000
0,1,patch_embed1.embed2.embed_lif,0.500000,2.000000
0,2,patch_embed2.max_embed1.embed_lif,0.500000,2.000000
0,3,patch_embed2.embed1.embed_lif,0.500000,2.000000
0,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
0,5,patch_embed3.max_embed1.embed_lif,0.500000,2.000000
0,6,patch_embed3.embed1.embed_lif,0.500000,2.000000
0,7,patch_embed3.max_embed2.embed_lif,0.500000,2.000000
0,8,stage1.0.mlp.fc1_lif,0.500000,2.000000
0,9,stage1.0.mlp.fc2_lif,0.500000,2.000000
0,10,stage2.0.mixer.conv_neuron,0.500000,2.000000
0,11,stage2.0.mlp.fc1_lif,0.500000,2.000000
0,12,stage2.0.mlp.fc2_lif,0.500000,2.000000
0,13,stage3.0.attn.x_lif,0.500000,2.000000
0,14,stage3.0.attn.q_lif,0.500000,2.000000
0,15,stage3.0.attn.k_lif,0.500000,2.000000
0,16,stage3.0.attn.v_lif,0.500000,2.000000
0,17,stage3.0.attn.attn_lif,0.500000,2.000000
0,18,stage3.0.mlp.fc1_lif,0.500000,2.000000
0,19,stage3.0.mlp.fc2_lif,0.500000,2.000000
0,20,stage3.1.attn.x_lif,0.500000,2.000000
0,21,stage3.1.attn.q_lif,0.500000,2.000000
0,22,stage3.1.attn.k_lif,0.500000,2.000000
0,23,stage3.1.attn.v_lif,0.500000,2.000000
0,24,stage3.1.attn.attn_lif,0.500000,2.000000
0,25,stage3.1.mlp.fc1_lif,0.500000,2.000000
0,26,stage3.1.mlp.fc2_lif,0.500000,2.000000
0,27,head_lif,0.500000,2.000000
5,0,patch_embed1.embed1.embed_lif,0.445962,1.804932
5,1,patch_embed1.embed2.embed_lif,0.443066,1.795543
5,2,patch_embed2.max_embed1.embed_lif,0.491895,1.968099
5,3,patch_embed2.embed1.embed_lif,0.500117,2.000467
5,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
5,5,patch_embed3.max_embed1.embed_lif,0.501578,2.006330
5,6,patch_embed3.embed1.embed_lif,0.501637,2.006570
5,7,patch_embed3.max_embed2.embed_lif,0.500000,2.000000
5,8,stage1.0.mlp.fc1_lif,0.492038,1.968652
5,9,stage1.0.mlp.fc2_lif,0.497855,1.991457
5,10,stage2.0.mixer.conv_neuron,0.470949,1.890176
5,11,stage2.0.mlp.fc1_lif,0.496420,1.985784
5,12,stage2.0.mlp.fc2_lif,0.503962,2.015975
5,13,stage3.0.attn.x_lif,0.498362,1.993468
5,14,stage3.0.attn.q_lif,0.492520,1.970519
5,15,stage3.0.attn.k_lif,0.491904,1.968131
5,16,stage3.0.attn.v_lif,0.496227,1.985020
5,17,stage3.0.attn.attn_lif,0.493308,1.973586
5,18,stage3.0.mlp.fc1_lif,0.490721,1.963561
5,19,stage3.0.mlp.fc2_lif,0.511214,2.045884
5,20,stage3.1.attn.x_lif,0.496305,1.985329
5,21,stage3.1.attn.q_lif,0.474598,1.903305
5,22,stage3.1.attn.k_lif,0.478316,1.916869
5,23,stage3.1.attn.v_lif,0.486145,1.946073
5,24,stage3.1.attn.attn_lif,0.473090,1.897857
5,25,stage3.1.mlp.fc1_lif,0.492902,1.972006
5,26,stage3.1.mlp.fc2_lif,0.504900,2.019793
5,27,head_lif,0.469212,1.883991
10,0,patch_embed1.embed1.embed_lif,0.301050,1.430717
10,1,patch_embed1.embed2.embed_lif,0.318891,1.468193
10,2,patch_embed2.max_embed1.embed_lif,0.482658,1.932959
10,3,patch_embed2.embed1.embed_lif,0.492031,1.968622
10,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
10,5,patch_embed3.max_embed1.embed_lif,0.506951,2.028195
10,6,patch_embed3.embed1.embed_lif,0.533849,2.145226
10,7,patch_embed3.max_embed2.embed_lif,0.500000,2.000000
10,8,stage1.0.mlp.fc1_lif,0.481980,1.930426
10,9,stage1.0.mlp.fc2_lif,0.501370,2.005496
10,10,stage2.0.mixer.conv_neuron,0.416175,1.712841
10,11,stage2.0.mlp.fc1_lif,0.498972,1.995896
10,12,stage2.0.mlp.fc2_lif,0.533843,2.145201
10,13,stage3.0.attn.x_lif,0.480178,1.923737
10,14,stage3.0.attn.q_lif,0.471734,1.892985
10,15,stage3.0.attn.k_lif,0.470122,1.887226
10,16,stage3.0.attn.v_lif,0.486951,1.949130
10,17,stage3.0.attn.attn_lif,0.482254,1.931449
10,18,stage3.0.mlp.fc1_lif,0.497817,1.991305
10,19,stage3.0.mlp.fc2_lif,0.611878,2.576508
10,20,stage3.1.attn.x_lif,0.465758,1.871812
10,21,stage3.1.attn.q_lif,0.408284,1.690000
10,22,stage3.1.attn.k_lif,0.432949,1.763510
10,23,stage3.1.attn.v_lif,0.455716,1.837276
10,24,stage3.1.attn.attn_lif,0.406575,1.685134
10,25,stage3.1.mlp.fc1_lif,0.502971,2.011956
10,26,stage3.1.mlp.fc2_lif,0.620736,2.636683
10,27,head_lif,0.456417,1.839647
15,0,patch_embed1.embed1.embed_lif,0.263262,1.357335
15,1,patch_embed1.embed2.embed_lif,0.339214,1.513350
15,2,patch_embed2.max_embed1.embed_lif,0.472673,1.896355
15,3,patch_embed2.embed1.embed_lif,0.460280,1.852813
15,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
15,5,patch_embed3.max_embed1.embed_lif,0.502389,2.009602
15,6,patch_embed3.embed1.embed_lif,0.529150,2.123819
15,7,patch_embed3.max_embed2.embed_lif,0.500000,2.000000
15,8,stage1.0.mlp.fc1_lif,0.514900,2.061432
15,9,stage1.0.mlp.fc2_lif,0.513507,2.055530
15,10,stage2.0.mixer.conv_neuron,0.376253,1.603213
15,11,stage2.0.mlp.fc1_lif,0.518585,2.077209
15,12,stage2.0.mlp.fc2_lif,0.560910,2.277436
15,13,stage3.0.attn.x_lif,0.457198,1.842291
15,14,stage3.0.attn.q_lif,0.446175,1.805626
15,15,stage3.0.attn.k_lif,0.444344,1.799676
15,16,stage3.0.attn.v_lif,0.463911,1.865361
15,17,stage3.0.attn.attn_lif,0.469662,1.885589
15,18,stage3.0.mlp.fc1_lif,0.504176,2.016845
15,19,stage3.0.mlp.fc2_lif,0.675243,3.079226
15,20,stage3.1.attn.x_lif,0.424925,1.738905
15,21,stage3.1.attn.q_lif,0.362929,1.569684
15,22,stage3.1.attn.k_lif,0.408463,1.690511
15,23,stage3.1.attn.v_lif,0.443121,1.795722
15,24,stage3.1.attn.attn_lif,0.365192,1.575279
15,25,stage3.1.mlp.fc1_lif,0.499330,1.997323
15,26,stage3.1.mlp.fc2_lif,0.694285,3.271026
15,27,head_lif,0.444192,1.799182
20,0,patch_embed1.embed1.embed_lif,0.263322,1.357446
20,1,patch_embed1.embed2.embed_lif,0.413524,1.705098
20,2,patch_embed2.max_embed1.embed_lif,0.455987,1.838191
20,3,patch_embed2.embed1.embed_lif,0.415446,1.710705
20,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
20,5,patch_embed3.max_embed1.embed_lif,0.490110,1.961208
20,6,patch_embed3.embed1.embed_lif,0.493490,1.974293
20,7,patch_embed3.max_embed2.embed_lif,0.500000,2.000000
20,8,stage1.0.mlp.fc1_lif,0.566317,2.305830
20,9,stage1.0.mlp.fc2_lif,0.513512,2.055549
20,10,stage2.0.mixer.conv_neuron,0.369020,1.584836
20,11,stage2.0.mlp.fc1_lif,0.534626,2.148811
20,12,stage2.0.mlp.fc2_lif,0.575271,2.354445
20,13,stage3.0.attn.x_lif,0.440006,1.785734
20,14,stage3.0.attn.q_lif,0.417680,1.717270
20,15,stage3.0.attn.k_lif,0.425905,1.741873
20,16,stage3.0.attn.v_lif,0.453027,1.828244
20,17,stage3.0.attn.attn_lif,0.468517,1.881527
20,18,stage3.0.mlp.fc1_lif,0.520856,2.087057
20,19,stage3.0.mlp.fc2_lif,0.698016,3.311439
20,20,stage3.1.attn.x_lif,0.412559,1.702297
20,21,stage3.1.attn.q_lif,0.333846,1.501155
20,22,stage3.1.attn.k_lif,0.390497,1.640682
20,23,stage3.1.attn.v_lif,0.434533,1.768451
20,24,stage3.1.attn.attn_lif,0.335122,1.504035
20,25,stage3.1.mlp.fc1_lif,0.492101,1.968894
20,26,stage3.1.mlp.fc2_lif,0.707143,3.414631
20,27,head_lif,0.431196,1.758076
25,0,patch_embed1.embed1.embed_lif,0.252595,1.337962
25,1,patch_embed1.embed2.embed_lif,0.453239,1.828953
25,2,patch_embed2.max_embed1.embed_lif,0.438996,1.782518
25,3,patch_embed2.embed1.embed_lif,0.373099,1.595149
25,4,patch_embed2.max_embed2.embed_lif,0.500000,2.000000
