epoch,train_loss,train_top1,val_loss,val_top1,val_top5
0,4.559312,0.0000,4.430847,4.5700,17.6700
1,4.405076,0.0000,4.042586,9.6600,30.6300
2,4.296618,0.0000,3.816392,13.9400,37.9600
3,4.209527,0.0000,3.609687,16.0500,43.1700
4,4.102293,0.0000,3.383111,21.5600,50.4800
5,4.025158,0.0000,3.251425,22.4800,52.4400
6,3.934670,0.0000,3.027000,28.1600,58.6000
7,3.874665,0.0000,2.807988,31.6600,64.9000
8,3.799536,0.0000,2.623994,35.6400,68.7000
9,3.761503,0.0000,2.584935,37.5800,70.1900
10,3.668748,0.0000,2.380374,40.9900,73.1900
11,3.620605,0.0000,2.308330,42.3800,74.3800
12,3.601115,0.0000,2.275736,43.2600,75.2600
13,3.561431,0.0000,2.172803,45.7100,77.1200
14,3.522852,0.0000,2.062537,48.6600,79.3700
15,3.527370,0.0000,2.003435,50.3500,80.3600
16,3.475673,0.0000,2.019535,50.1400,80.4200
17,3.451887,0.0000,1.948193,51.9900,81.7600
18,3.427942,0.0000,1.919883,52.6700,82.0200
19,3.424003,0.0000,1.941242,51.9700,81.4900
20,3.402011,0.0000,1.831338,54.2000,83.1900
21,3.369161,0.0000,1.912430,52.8900,82.4500
22,3.343921,0.0000,1.793141,56.2500,83.3500
23,3.304018,0.0000,1.736417,57.4800,84.9500
24,3.312701,0.0000,1.757716,57.9700,85.3700
25,3.272416,0.0000,1.703176,59.5200,85.9300
26,3.277263,0.0000,1.672236,59.7700,85.9100
27,3.239104,0.0000,1.693990,59.3200,85.9900
28,3.247042,0.0000,1.598586,60.1700,87.1600
29,3.232365,0.0000,1.609011,61.1800,86.8800
30,3.249760,0.0000,1.559121,62.4800,87.5400
31,3.199833,0.0000,1.571733,61.5100,86.9600
32,3.211717,0.0000,1.548907,62.7100,87.6400
33,3.213473,0.0000,1.630239,61.6700,87.2500
34,3.186628,0.0000,1.533345,62.9500,88.2600
35,3.170591,0.0000,1.439242,64.5000,89.3800
36,3.154448,0.0000,1.533173,63.3000,88.2800
