layer_index,layer_name,initial_beta,final_beta,best_epoch_beta,delta_from_default
0,patch_embed1.embed1.embed_lif,0.500000,0.238137,0.238038,-0.261863
1,patch_embed1.embed2.embed_lif,0.500000,0.488988,0.489024,-0.011012
2,patch_embed2.max_embed1.embed_lif,0.500000,0.359435,0.359262,-0.140565
3,patch_embed2.embed1.embed_lif,0.500000,0.194460,0.194590,-0.305540
4,patch_embed2.max_embed2.embed_lif,0.500000,0.500000,0.500000,0.000000
5,patch_embed3.max_embed1.embed_lif,0.500000,0.472352,0.472347,-0.027648
6,patch_embed3.embed1.embed_lif,0.500000,0.226480,0.226824,-0.273520
7,patch_embed3.max_embed2.embed_lif,0.500000,0.500000,0.500000,0.000000
8,stage1.0.mlp.fc1_lif,0.500000,0.512975,0.513018,0.012975
9,stage1.0.mlp.fc2_lif,0.500000,0.477716,0.477727,-0.022284
10,stage2.0.mixer.conv_neuron,0.500000,0.401880,0.401788,-0.098120
11,stage2.0.mlp.fc1_lif,0.500000,0.517543,0.517661,0.017543
12,stage2.0.mlp.fc2_lif,0.500000,0.398086,0.398500,-0.101914
13,stage3.0.attn.x_lif,0.500000,0.389976,0.390038,-0.110024
14,stage3.0.attn.q_lif,0.500000,0.176454,0.176636,-0.323546
15,stage3.0.attn.k_lif,0.500000,0.259677,0.259918,-0.240323
16,stage3.0.attn.v_lif,0.500000,0.211455,0.211777,-0.288545
17,stage3.0.attn.attn_lif,0.500000,0.500250,0.500324,0.000250
18,stage3.0.mlp.fc1_lif,0.500000,0.423181,0.423481,-0.076819
19,stage3.0.mlp.fc2_lif,0.500000,0.233068,0.233977,-0.266932
20,stage3.1.attn.x_lif,0.500000,0.517404,0.517425,0.017404
21,stage3.1.attn.q_lif,0.500000,0.247323,0.247639,-0.252677
22,stage3.1.attn.k_lif,0.500000,0.309696,0.310031,-0.190304
23,stage3.1.attn.v_lif,0.500000,0.309117,0.309503,-0.190883
24,stage3.1.attn.attn_lif,0.500000,0.333854,0.333984,-0.166146
25,stage3.1.mlp.fc1_lif,0.500000,0.544859,0.545170,0.044859
26,stage3.1.mlp.fc2_lif,0.500000,0.310194,0.311086,-0.189806
27,head_lif,0.500000,0.300800,0.301268,-0.199200
