source_run,layer_index,layer_name,learned_beta,learned_tau,T_HFR,S_HFR,T_timesteps,spatial_H,spatial_W
p1,0,patch_embed1.embed1.embed_lif,0.23803814310964544,1.3124016523361206,0.9083918923312061,0.046064237587356165,4,32,32
p1,1,patch_embed1.embed2.embed_lif,0.4890244461056106,1.957040786743164,0.8249145789631521,0.048811432180538294,4,32,32
p1,2,patch_embed2.max_embed1.embed_lif,0.3592621385741912,1.5607006549835205,0.7596676244307006,0.07105710817520851,4,32,32
p1,3,patch_embed2.embed1.embed_lif,0.19459028182496374,1.2416040897369385,0.7499297363747691,0.09475652813786554,4,16,16
p1,5,patch_embed3.max_embed1.embed_lif,0.47234722420535447,1.8951857089996338,0.6864396399968541,0.09188571420646073,4,16,16
p1,6,patch_embed3.embed1.embed_lif,0.22682376822911055,1.2933661937713623,0.706423544956449,0.093718515065167,4,8,8
p1,8,stage1.0.mlp.fc1_lif,0.5130182702441246,2.0534651279449463,0.7416025578103256,0.05771981098326761,4,32,32
p1,9,stage1.0.mlp.fc2_lif,0.4777266693728941,1.9147062301635742,0.7436439918487462,0.0921288274412116,4,32,32
p1,10,stage2.0.mixer.conv_neuron,0.4017879453461506,1.6716480255126953,0.7250257600165517,0.07714400138726775,4,16,16
p1,11,stage2.0.mlp.fc1_lif,0.517661076471628,2.0732309818267822,0.7061621215244658,0.09291885431397807,4,16,16
p1,12,stage2.0.mlp.fc2_lif,0.39849974279625144,1.6625096797943115,0.6931520408147295,0.05426086135446925,4,16,16
p1,13,stage3.0.attn.x_lif,0.39003795044337564,1.6394462585449219,0.6865669350345264,0.07262312967582352,4,8,8
p1,14,stage3.0.attn.q_lif,0.17663590039155053,1.2145295143127441,0.7078084364716262,0.0,4,1,384
p1,15,stage3.0.attn.k_lif,0.259917624603044,1.3512009382247925,0.6952249616319192,0.0,4,1,384
p1,16,stage3.0.attn.v_lif,0.21177730583060228,1.268676996231079,0.701915687615745,0.0,4,1,384
p1,17,stage3.0.attn.attn_lif,0.5003242177108527,2.00129771232605,0.6703037676604061,0.0,4,1,384
p1,18,stage3.0.mlp.fc1_lif,0.4234810000656337,1.7345482110977173,0.674422596844008,0.06646900933063457,4,8,8
p1,19,stage3.0.mlp.fc2_lif,0.23397675048692557,1.3054434061050415,0.6893008155990119,0.06608579634863207,4,8,8
p1,20,stage3.1.attn.x_lif,0.5174247768193833,2.0722157955169678,0.6522557379402324,0.10725855982952462,4,8,8
p1,21,stage3.1.attn.q_lif,0.24763931206857648,1.3291497230529785,0.6708811967002478,0.0,4,1,384
p1,22,stage3.1.attn.k_lif,0.3100311631432663,1.4493408203125,0.664478441327502,0.0,4,1,384
p1,23,stage3.1.attn.v_lif,0.3095034917839916,1.4482332468032837,0.663109780788553,0.0,4,1,384
p1,24,stage3.1.attn.attn_lif,0.3339837927159718,1.5014649629592896,0.6492541575043649,0.0,4,1,384
p1,25,stage3.1.mlp.fc1_lif,0.545169604523597,2.1986217498779297,0.6454714109286602,0.11065865170859833,4,8,8
p1,26,stage3.1.mlp.fc2_lif,0.3110857874191767,1.4515595436096191,0.6561085485257125,0.11826650139817844,4,8,8
p1,27,head_lif,0.30126795514578686,1.4311637878417969,0.6653086946087867,nan,4,1,1
