epoch,layer_index,layer_name,beta,tau
0,0,patch_embed1.embed1.embed_lif,0.500000,2.000000
0,1,patch_embed1.embed2.embed_lif,0.500000,2.000000
0,2,stage1.0.attn.x_lif,0.500000,2.000000
0,3,stage1.0.attn.q_lif,0.500000,2.000000
0,4,stage1.0.attn.k_lif,0.500000,2.000000
0,5,stage1.0.attn.v_lif,0.500000,2.000000
0,6,stage1.0.attn.attn_lif,0.500000,2.000000
0,7,stage1.0.mlp.fc1_lif,0.500000,2.000000
0,8,stage1.0.mlp.fc2_lif,0.500000,2.000000
0,9,patch_embed2.embed1.embed_lif,0.500000,2.000000
0,10,patch_embed2.orig_embed1.embed_lif,0.500000,2.000000
0,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
0,12,stage2.0.attn.x_lif,0.500000,2.000000
0,13,stage2.0.attn.q_lif,0.500000,2.000000
0,14,stage2.0.attn.k_lif,0.500000,2.000000
0,15,stage2.0.attn.v_lif,0.500000,2.000000
0,16,stage2.0.attn.attn_lif,0.500000,2.000000
0,17,stage2.0.mlp.fc1_lif,0.500000,2.000000
0,18,stage2.0.mlp.fc2_lif,0.500000,2.000000
0,19,patch_embed3.embed1.embed_lif,0.500000,2.000000
0,20,patch_embed3.orig_embed1.embed_lif,0.500000,2.000000
0,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
0,22,stage3.0.attn.x_lif,0.500000,2.000000
0,23,stage3.0.attn.q_lif,0.500000,2.000000
0,24,stage3.0.attn.k_lif,0.500000,2.000000
0,25,stage3.0.attn.v_lif,0.500000,2.000000
0,26,stage3.0.attn.attn_lif,0.500000,2.000000
0,27,stage3.0.mlp.fc1_lif,0.500000,2.000000
0,28,stage3.0.mlp.fc2_lif,0.500000,2.000000
0,29,stage3.1.attn.x_lif,0.500000,2.000000
0,30,stage3.1.attn.q_lif,0.500000,2.000000
0,31,stage3.1.attn.k_lif,0.500000,2.000000
0,32,stage3.1.attn.v_lif,0.500000,2.000000
0,33,stage3.1.attn.attn_lif,0.500000,2.000000
0,34,stage3.1.mlp.fc1_lif,0.500000,2.000000
0,35,stage3.1.mlp.fc2_lif,0.500000,2.000000
0,36,head_lif,0.500000,2.000000
5,0,patch_embed1.embed1.embed_lif,0.440171,1.786261
5,1,patch_embed1.embed2.embed_lif,0.435627,1.771879
5,2,stage1.0.attn.x_lif,0.487711,1.952022
5,3,stage1.0.attn.q_lif,0.486208,1.946313
5,4,stage1.0.attn.k_lif,0.497724,1.990938
5,5,stage1.0.attn.v_lif,0.499702,1.998810
5,6,stage1.0.attn.attn_lif,0.500732,2.002931
5,7,stage1.0.mlp.fc1_lif,0.501699,2.006819
5,8,stage1.0.mlp.fc2_lif,0.502517,2.010121
5,9,patch_embed2.embed1.embed_lif,0.498646,1.994599
5,10,patch_embed2.orig_embed1.embed_lif,0.496308,1.985338
5,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
5,12,stage2.0.attn.x_lif,0.497880,1.991557
5,13,stage2.0.attn.q_lif,0.495618,1.982622
5,14,stage2.0.attn.k_lif,0.489522,1.958950
5,15,stage2.0.attn.v_lif,0.492726,1.971323
5,16,stage2.0.attn.attn_lif,0.487612,1.951646
5,17,stage2.0.mlp.fc1_lif,0.502883,2.011599
5,18,stage2.0.mlp.fc2_lif,0.502401,2.009651
5,19,patch_embed3.embed1.embed_lif,0.495628,1.982663
5,20,patch_embed3.orig_embed1.embed_lif,0.485177,1.942416
5,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
5,22,stage3.0.attn.x_lif,0.494969,1.980078
5,23,stage3.0.attn.q_lif,0.491863,1.967972
5,24,stage3.0.attn.k_lif,0.481541,1.928793
5,25,stage3.0.attn.v_lif,0.483524,1.936198
5,26,stage3.0.attn.attn_lif,0.482859,1.933710
5,27,stage3.0.mlp.fc1_lif,0.483463,1.935971
5,28,stage3.0.mlp.fc2_lif,0.480502,1.924936
5,29,stage3.1.attn.x_lif,0.491727,1.967445
5,30,stage3.1.attn.q_lif,0.452068,1.825044
5,31,stage3.1.attn.k_lif,0.451089,1.821790
5,32,stage3.1.attn.v_lif,0.470610,1.888967
5,33,stage3.1.attn.attn_lif,0.447961,1.811467
5,34,stage3.1.mlp.fc1_lif,0.492441,1.970215
5,35,stage3.1.mlp.fc2_lif,0.486789,1.948518
5,36,head_lif,0.458319,1.846103
10,0,patch_embed1.embed1.embed_lif,0.354703,1.549673
10,1,patch_embed1.embed2.embed_lif,0.341621,1.518882
10,2,stage1.0.attn.x_lif,0.474101,1.901506
10,3,stage1.0.attn.q_lif,0.457510,1.843354
10,4,stage1.0.attn.k_lif,0.487089,1.949656
10,5,stage1.0.attn.v_lif,0.503578,2.014417
10,6,stage1.0.attn.attn_lif,0.511807,2.048369
10,7,stage1.0.mlp.fc1_lif,0.519826,2.082580
10,8,stage1.0.mlp.fc2_lif,0.512506,2.051307
10,9,patch_embed2.embed1.embed_lif,0.518685,2.077641
10,10,patch_embed2.orig_embed1.embed_lif,0.502476,2.009952
10,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
10,12,stage2.0.attn.x_lif,0.502366,2.009511
10,13,stage2.0.attn.q_lif,0.478979,1.919309
10,14,stage2.0.attn.k_lif,0.475448,1.906388
10,15,stage2.0.attn.v_lif,0.487328,1.950565
10,16,stage2.0.attn.attn_lif,0.484211,1.938776
10,17,stage2.0.mlp.fc1_lif,0.537517,2.162241
10,18,stage2.0.mlp.fc2_lif,0.540538,2.176457
10,19,patch_embed3.embed1.embed_lif,0.504233,2.017076
10,20,patch_embed3.orig_embed1.embed_lif,0.497877,1.991544
10,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
10,22,stage3.0.attn.x_lif,0.516426,2.067937
10,23,stage3.0.attn.q_lif,0.496998,1.988066
10,24,stage3.0.attn.k_lif,0.464712,1.868153
10,25,stage3.0.attn.v_lif,0.474076,1.901417
10,26,stage3.0.attn.attn_lif,0.457600,1.843657
10,27,stage3.0.mlp.fc1_lif,0.496227,1.985023
10,28,stage3.0.mlp.fc2_lif,0.520372,2.084949
10,29,stage3.1.attn.x_lif,0.498411,1.993664
10,30,stage3.1.attn.q_lif,0.390089,1.639583
10,31,stage3.1.attn.k_lif,0.390783,1.641452
10,32,stage3.1.attn.v_lif,0.436542,1.774754
10,33,stage3.1.attn.attn_lif,0.364399,1.573313
10,34,stage3.1.mlp.fc1_lif,0.535739,2.153962
10,35,stage3.1.mlp.fc2_lif,0.565719,2.302658
10,36,head_lif,0.412056,1.700842
15,0,patch_embed1.embed1.embed_lif,0.309954,1.449178
15,1,patch_embed1.embed2.embed_lif,0.313740,1.457174
15,2,stage1.0.attn.x_lif,0.485024,1.941838
15,3,stage1.0.attn.q_lif,0.411924,1.700461
15,4,stage1.0.attn.k_lif,0.485939,1.945293
15,5,stage1.0.attn.v_lif,0.519445,2.080929
15,6,stage1.0.attn.attn_lif,0.571708,2.334858
15,7,stage1.0.mlp.fc1_lif,0.551780,2.231049
15,8,stage1.0.mlp.fc2_lif,0.517285,2.071616
15,9,patch_embed2.embed1.embed_lif,0.539610,2.172073
15,10,patch_embed2.orig_embed1.embed_lif,0.486060,1.945754
15,11,patch_embed2.embed2.embed_lif,0.500000,2.000000
15,12,stage2.0.attn.x_lif,0.499697,1.998788
15,13,stage2.0.attn.q_lif,0.448807,1.814245
15,14,stage2.0.attn.k_lif,0.450167,1.818734
15,15,stage2.0.attn.v_lif,0.469582,1.885306
15,16,stage2.0.attn.attn_lif,0.497621,1.990530
15,17,stage2.0.mlp.fc1_lif,0.579052,2.375593
15,18,stage2.0.mlp.fc2_lif,0.582814,2.397012
15,19,patch_embed3.embed1.embed_lif,0.507214,2.029277
15,20,patch_embed3.orig_embed1.embed_lif,0.480135,1.923576
15,21,patch_embed3.embed2.embed_lif,0.500000,2.000000
15,22,stage3.0.attn.x_lif,0.527070,2.114476
15,23,stage3.0.attn.q_lif,0.487157,1.949915
15,24,stage3.0.attn.k_lif,0.443987,1.798520
15,25,stage3.0.attn.v_lif,0.451696,1.823807
15,26,stage3.0.attn.attn_lif,0.423124,1.733475
15,27,stage3.0.mlp.fc1_lif,0.522421,2.093896
15,28,stage3.0.mlp.fc2_lif,0.577065,2.364428
15,29,stage3.1.attn.x_lif,0.501387,2.005563
15,30,stage3.1.attn.q_lif,0.349496,1.537269
15,31,stage3.1.attn.k_lif,0.351598,1.542254
15,32,stage3.1.attn.v_lif,0.411627,1.699603
15,33,stage3.1.attn.attn_lif,0.286979,1.402483
15,34,stage3.1.mlp.fc1_lif,0.604680,2.529597
15,35,stage3.1.mlp.fc2_lif,0.655088,2.899291
15,36,head_lif,0.377353,1.606046
