epoch,train_loss,train_top1,val_loss,val_top1,val_top5
0,4.570131,0.0000,4.458978,4.0500,17.7800
1,4.423820,0.0000,4.097440,8.8100,28.7600
2,4.321785,0.0000,3.884946,10.8200,34.8600
3,4.251447,0.0000,3.727816,14.6400,39.8500
4,4.163390,0.0000,3.539217,17.5800,45.0400
5,4.090243,0.0000,3.356071,21.0500,49.8900
6,4.016277,0.0000,3.181603,23.6200,54.8900
7,3.965844,0.0000,3.076416,26.6100,57.4400
8,3.905402,0.0000,2.889687,29.4700,61.9000
9,3.863304,0.0000,2.792061,32.7100,66.0400
10,3.771480,0.0000,2.684343,33.9200,67.3000
11,3.729449,0.0000,2.615777,35.7400,67.5200
12,3.698664,0.0000,2.395316,40.1500,73.4600
13,3.658215,0.0000,2.381006,41.9000,73.6500
14,3.621859,0.0000,2.372797,41.8900,72.4800
15,3.622844,0.0000,2.305243,44.4200,76.1300
16,3.575645,0.0000,2.242666,44.8100,76.2300
17,3.539382,0.0000,2.124951,47.1500,78.0700
18,3.524735,0.0000,2.158426,46.3300,77.8600
19,3.509040,0.0000,2.085982,49.0200,79.5200
20,3.479837,0.0000,2.042432,50.0200,80.7000
21,3.455542,0.0000,2.034416,49.8100,81.2400
22,3.427983,0.0000,1.928776,52.2800,82.4500
23,3.385345,0.0000,1.903461,52.6000,82.3000
24,3.402731,0.0000,1.914151,53.7300,83.3300
25,3.343237,0.0000,1.934259,53.9900,82.8900
26,3.353986,0.0000,1.838564,55.2000,83.7900
27,3.320194,0.0000,1.821929,56.3000,83.9000
28,3.323847,0.0000,1.824211,55.7500,84.3000
29,3.320934,0.0000,1.754641,57.0600,84.8700
30,3.322980,0.0000,1.699354,58.1900,85.9700
31,3.276112,0.0000,1.708387,58.1700,85.3100
32,3.287260,0.0000,1.719247,58.8400,85.7500
33,3.282606,0.0000,1.693922,59.2400,86.1800
34,3.269158,0.0000,1.648747,59.7000,86.1600
35,3.237552,0.0000,1.582060,60.5800,86.9400
36,3.242588,0.0000,1.615535,61.1100,87.1400
37,3.254249,0.0000,1.575051,62.2700,87.6200
38,3.216323,0.0000,1.643131,60.9100,87.2200
39,3.227492,0.0000,1.632310,61.9200,87.9700
40,3.180896,0.0000,1.581074,61.8800,87.3200
41,3.176369,0.0000,1.648825,60.8100,86.7700
42,3.195800,0.0000,1.598926,61.6500,87.1600
43,3.165751,0.0000,1.579122,62.4100,87.4100
44,3.205812,0.0000,1.534905,63.3500,88.5300
45,3.171871,0.0000,1.573205,63.0000,88.1500
46,3.170547,0.0000,1.628415,62.0900,87.1700
47,3.132616,0.0000,1.514236,64.1500,88.9200
48,3.143479,0.0000,1.545779,63.3700,88.7200
49,3.141571,0.0000,1.539240,63.4300,88.5900
50,3.093710,0.0000,1.509407,63.8600,88.8500
51,3.119142,0.0000,1.507759,64.6500,89.0000
52,3.123114,0.0000,1.471846,65.0400,89.1400
53,3.086225,0.0000,1.468138,64.4100,88.9900
54,3.092426,0.0000,1.507027,64.3400,88.3700
55,3.099918,0.0000,1.435599,65.8600,89.2400
56,3.066294,0.0000,1.418607,65.6700,89.5100
57,3.105162,0.0000,1.468615,65.8400,89.7600
58,3.087873,0.0000,1.440649,66.8500,90.0300
59,3.087436,0.0000,1.436887,66.5400,90.0400
60,3.062127,0.0000,1.430417,66.8000,90.2100
61,3.047587,0.0000,1.482268,65.6600,89.5400
62,3.067447,0.0000,1.420124,66.9300,89.8600
63,3.048298,0.0000,1.424040,66.6900,89.7400
64,3.047156,0.0000,1.419503,67.0700,90.0500
65,3.017018,0.0000,1.424918,67.3800,89.8700
66,3.022360,0.0000,1.373899,67.4100,90.2600
67,3.017034,0.0000,1.358800,68.2400,90.9000
68,2.983946,0.0000,1.391897,67.5600,89.9400
69,2.957916,0.0000,1.291326,69.3900,90.7000
70,3.002687,0.0000,1.358667,68.0800,90.6300
71,2.992189,0.0000,1.360517,68.9700,90.5600
72,2.977666,0.0000,1.304452,69.0700,91.3700
73,2.997550,0.0000,1.329368,69.6400,91.2700
74,2.949923,0.0000,1.264113,69.4800,91.4700
75,2.959288,0.0000,1.316091,68.9700,91.0400
76,2.979220,0.0000,1.357402,69.1300,90.9800
77,2.949868,0.0000,1.296868,70.0900,91.5300
78,2.901149,0.0000,1.301305,70.0500,90.9500
79,2.940458,0.0000,1.240047,69.7400,91.7700
80,2.924473,0.0000,1.280676,69.9000,91.3900
81,2.894565,0.0000,1.286232,70.0300,91.4700
82,2.899339,0.0000,1.298705,70.4800,91.7600
83,2.909995,0.0000,1.289847,70.4600,92.1000
84,2.891640,0.0000,1.293258,70.7400,91.7700
85,2.851240,0.0000,1.241534,71.7800,91.9900
86,2.927702,0.0000,1.241583,71.3800,92.0500
87,2.849569,0.0000,1.226080,71.8900,92.0900
88,2.862904,0.0000,1.208000,72.0900,92.7300
89,2.867757,0.0000,1.244966,71.7900,92.1700
90,2.838007,0.0000,1.212360,71.6300,92.4900
91,2.849676,0.0000,1.262184,71.8400,92.3100
92,2.831319,0.0000,1.256134,72.2700,91.8900
93,2.818684,0.0000,1.216664,72.0600,92.2900
94,2.796690,0.0000,1.211910,72.4000,92.6700
95,2.786112,0.0000,1.180276,73.1600,92.6800
96,2.805974,0.0000,1.171863,73.1100,92.8700
97,2.786136,0.0000,1.172007,72.9400,93.2400
98,2.757248,0.0000,1.176287,73.1900,92.5700
99,2.784443,0.0000,1.150026,73.7200,92.9900
100,2.795078,0.0000,1.144285,73.8200,93.2600
101,2.794171,0.0000,1.180575,73.1900,92.8400
102,2.758060,0.0000,1.142713,73.8100,93.0100
103,2.738198,0.0000,1.179568,73.9300,92.9900
104,2.716878,0.0000,1.151690,74.3200,93.3100
105,2.747614,0.0000,1.175950,73.8100,93.0500
106,2.718866,0.0000,1.143495,74.2400,93.0200
107,2.700916,0.0000,1.175389,74.0400,93.2000
108,2.728555,0.0000,1.186098,74.4500,92.6900
109,2.702626,0.0000,1.150962,74.8200,93.0000
110,2.732244,0.0000,1.167564,74.9800,93.4300
111,2.687612,0.0000,1.129634,75.1600,93.4900
112,2.706402,0.0000,1.144013,74.9500,93.1100
113,2.710690,0.0000,1.103434,75.1000,93.2100
114,2.658565,0.0000,1.110661,75.3400,93.4800
115,2.670556,0.0000,1.063281,75.7500,93.7800
116,2.639637,0.0000,1.120431,75.3700,93.5300
117,2.683155,0.0000,1.070972,75.5500,93.8900
118,2.683152,0.0000,1.148738,75.6100,93.5000
119,2.649864,0.0000,1.085275,76.1500,93.6300
120,2.614911,0.0000,1.078042,76.1800,93.8100
121,2.656360,0.0000,1.082012,76.1300,93.7900
122,2.617144,0.0000,1.132628,76.2800,93.5000
123,2.592476,0.0000,1.125648,75.9700,93.8200
124,2.619553,0.0000,1.098005,76.0500,93.4900
125,2.616639,0.0000,1.049093,76.2800,93.9300
126,2.581635,0.0000,1.101427,76.3100,93.8300
127,2.587931,0.0000,1.080334,76.6500,93.7700
128,2.589495,0.0000,1.095152,76.9200,93.8800
129,2.566094,0.0000,1.094924,76.9200,93.7300
130,2.565160,0.0000,1.097718,76.9600,93.7900
131,2.579843,0.0000,1.110489,76.6700,93.7300
132,2.528236,0.0000,1.063204,77.3600,93.6900
133,2.529276,0.0000,1.062228,76.9300,93.9400
134,2.589803,0.0000,1.025100,76.9500,93.9400
135,2.547149,0.0000,1.066746,77.0800,93.6500
136,2.546325,0.0000,1.071444,76.7600,93.8200
137,2.508725,0.0000,1.093194,77.0700,94.0300
138,2.479569,0.0000,1.083909,76.8400,93.7500
139,2.516461,0.0000,1.046377,77.2400,94.1200
140,2.546292,0.0000,1.077289,77.4100,93.8800
141,2.538280,0.0000,1.074858,77.0900,93.8700
142,2.548331,0.0000,1.033486,77.3100,94.0300
143,2.592615,0.0000,1.053294,77.3600,93.9600
144,2.519003,0.0000,1.052674,77.0900,94.0500
145,2.541748,0.0000,1.093490,76.9900,93.8100
146,2.520823,0.0000,1.080562,77.0800,93.9300
147,2.525855,0.0000,1.019052,77.5700,94.0300
148,2.541987,0.0000,1.062817,77.3900,93.9000
149,2.562097,0.0000,1.087709,77.2400,93.7900
