layer_index,layer_name,initial_beta,final_beta,best_epoch_beta,delta_from_default
0,patch_embed1.embed1.embed_lif,0.500000,0.247699,0.247687,-0.252301
1,patch_embed1.embed2.embed_lif,0.500000,0.491490,0.491573,-0.008510
2,stage1.0.attn.x_lif,0.500000,0.349823,0.349756,-0.150177
3,stage1.0.attn.q_lif,0.500000,0.278843,0.278745,-0.221157
4,stage1.0.attn.k_lif,0.500000,0.411063,0.410946,-0.088937
5,stage1.0.attn.v_lif,0.500000,0.400328,0.400305,-0.099672
6,stage1.0.attn.attn_lif,0.500000,0.893726,0.893716,0.393726
7,stage1.0.mlp.fc1_lif,0.500000,0.646543,0.646586,0.146543
8,stage1.0.mlp.fc2_lif,0.500000,0.455740,0.455779,-0.044260
9,patch_embed2.embed1.embed_lif,0.500000,0.505025,0.505067,0.005025
10,patch_embed2.orig_embed1.embed_lif,0.500000,0.250441,0.250532,-0.249559
11,patch_embed2.embed2.embed_lif,0.500000,0.500000,0.500000,0.000000
12,stage2.0.attn.x_lif,0.500000,0.452910,0.453083,-0.047090
13,stage2.0.attn.q_lif,0.500000,0.294492,0.294504,-0.205508
14,stage2.0.attn.k_lif,0.500000,0.359667,0.359658,-0.140333
15,stage2.0.attn.v_lif,0.500000,0.319680,0.319733,-0.180320
16,stage2.0.attn.attn_lif,0.500000,0.734395,0.734387,0.234395
17,stage2.0.mlp.fc1_lif,0.500000,0.673388,0.673520,0.173388
18,stage2.0.mlp.fc2_lif,0.500000,0.524644,0.524791,0.024644
19,patch_embed3.embed1.embed_lif,0.500000,0.522731,0.522819,0.022731
20,patch_embed3.orig_embed1.embed_lif,0.500000,0.240845,0.241000,-0.259155
21,patch_embed3.embed2.embed_lif,0.500000,0.500000,0.500000,0.000000
22,stage3.0.attn.x_lif,0.500000,0.393685,0.393795,-0.106315
23,stage3.0.attn.q_lif,0.500000,0.192182,0.192188,-0.307818
24,stage3.0.attn.k_lif,0.500000,0.240543,0.240619,-0.259457
25,stage3.0.attn.v_lif,0.500000,0.235756,0.235910,-0.264244
26,stage3.0.attn.attn_lif,0.500000,0.343555,0.343404,-0.156445
27,stage3.0.mlp.fc1_lif,0.500000,0.502121,0.502502,0.002121
28,stage3.0.mlp.fc2_lif,0.500000,0.300401,0.300965,-0.199599
29,stage3.1.attn.x_lif,0.500000,0.530630,0.530714,0.030630
30,stage3.1.attn.q_lif,0.500000,0.255564,0.255553,-0.244436
31,stage3.1.attn.k_lif,0.500000,0.305936,0.305898,-0.194064
32,stage3.1.attn.v_lif,0.500000,0.297421,0.297620,-0.202579
33,stage3.1.attn.attn_lif,0.500000,0.228882,0.228734,-0.271118
34,stage3.1.mlp.fc1_lif,0.500000,0.585355,0.585544,0.085355
35,stage3.1.mlp.fc2_lif,0.500000,0.290259,0.290794,-0.209741
36,head_lif,0.500000,0.268364,0.268646,-0.231636
